Total Flow Matrix,,Film Manufacturer,Transportation,Film Consumption,Waste Management,Pelletizing,Landfill,Virgin Input (PE + nylon 6),Renewable/recovered Input,Dissipation,Export
,R(ij),1,2,3,4,5,6,7,8,9,10
Film Manufacturer,1,0,1,0,0,0,0.056,0,0,0.056,0
Transportation,2,0,0,1,0,0,0,0,0,0,0
Film Consumption,3,0,0,0,1,0,0,0,0,0,0
Waste Management,4,0,0,0,0,1,0,0,0,0,0
Pelletizing,5,0,0,0,0,0,0.15,0,0,0.05,0.8
Landfill,6,0,0,0,0,0,0,0,0,0.206,0
Virgin Input (PE + nylon 6),7,1.111,0,0,0,0,0,0,0,0,0
Renewable/recovered Input,8,0,0,0,0,0,0,0,0,0,0
Dissipation,9,0,0,0,0,0,0,0,0,0,0
Export,10,0,0,0,0,0,0,0,0,0,0